ID,Fattening_group.Pen,t (day),Wt (kg),FIt (kg day-1)
86,202001-69,1,57.504,1.943
86,202001-69,2,58.551,1.595
86,202001-69,3,59.597,1.725
86,202001-69,4,60.644,1.731
86,202001-69,5,61.691,1.735
86,202001-69,6,62.737,1.794
86,202001-69,7,64.5,1.554
86,202001-69,8,64.75,1.827
86,202001-69,9,65.5,1.651
86,202001-69,10,66.5,1.65
86,202001-69,11,67.75,1.781
86,202001-69,12,69,1.966
86,202001-69,13,70,2.276
86,202001-69,14,72,2.216
86,202001-69,15,72.25,2.167
86,202001-69,16,73,2.554
86,202001-69,17,74.5,2.23
86,202001-69,18,75.75,2.14
86,202001-69,19,76.5,2.295
86,202001-69,20,78,2.219
86,202001-69,21,79,2.254
86,202001-69,22,80,2.12
86,202001-69,23,81,1.926
86,202001-69,24,80.5,2.367
86,202001-69,25,82,2.6
86,202001-69,26,82.75,2.192
86,202001-69,27,84.75,2.379
86,202001-69,28,85,2.223
86,202001-69,29,86.25,2.805
86,202001-69,30,87.5,2.402
86,202001-69,31,89,2.385
86,202001-69,32,90.25,2.747
86,202001-69,33,91,2.256
86,202001-69,34,93,3.007
86,202001-69,35,94,2.883
86,202001-69,36,95.5,2.866
86,202001-69,37,96.5,2.627
86,202001-69,38,96.5,2.52
86,202001-69,39,99,3.011
86,202001-69,40,99,1.821
86,202001-69,41,99,2.099
86,202001-69,42,99.5,1.897
86,202001-69,43,101.625,2.572
86,202001-69,44,102.75,2.442
86,202001-69,45,103,2.289
86,202001-69,46,104,2.541
86,202001-69,47,105.5,2.411
86,202001-69,48,106,2.392
86,202001-69,49,107.5,2.489
86,202001-69,50,108.25,2.682
86,202001-69,51,108.5,2.525
86,202001-69,52,110,2.973
86,202001-69,53,111,2.7
86,202001-69,54,111,2.752
86,202001-69,55,111,2.783
86,202001-69,56,112.5,3.144
86,202001-69,57,113.5,2.707
86,202001-69,58,115.5,2.815
86,202001-69,59,117,3.375
86,202001-69,60,118,2.747
86,202001-69,61,120.5,3
86,202001-69,62,121,2.56
86,202001-69,63,121.5,3.172
86,202001-69,64,122.625,2.658
